id,date,time,from_city,to_city,travel_time,seat_type,seat_num,cost,trip_id
1,2021-11-11,11:00,Rivne,Kyiv,5,3,1,300,0
2,2021-11-11,11:00,Rivne,Kyiv,5,3,2,300,0
3,2021-11-11,11:00,Rivne,Kyiv,5,3,3,300,0
4,2021-11-11,11:00,Rivne,Kyiv,5,3,4,300,0
5,2021-11-11,11:00,Rivne,Kyiv,5,3,5,300,0
6,2021-11-11,11:00,Rivne,Kyiv,5,3,6,300,0
7,2021-11-11,11:00,Rivne,Kyiv,5,3,7,300,0
8,2021-11-11,11:00,Rivne,Kyiv,5,3,8,300,0
9,2021-11-11,11:00,Rivne,Kyiv,5,3,9,300,0
10,2021-11-11,11:00,Rivne,Kyiv,5,3,10,300,0
11,2021-11-11,11:00,Rivne,Kyiv,5,3,11,300,0
12,2021-11-11,11:00,Rivne,Kyiv,5,3,12,300,0
13,2021-11-11,11:00,Rivne,Kyiv,5,3,13,300,0
14,2021-11-11,11:00,Rivne,Kyiv,5,3,14,300,0
15,2021-11-11,11:00,Rivne,Kyiv,5,3,15,300,0
16,2021-11-11,11:00,Rivne,Kyiv,5,3,16,300,0
17,2021-11-11,11:00,Rivne,Kyiv,5,3,17,300,0
18,2021-11-11,11:00,Rivne,Kyiv,5,3,18,300,0
19,2021-11-11,11:00,Rivne,Kyiv,5,3,19,300,0
20,2021-11-11,11:00,Rivne,Kyiv,5,3,20,300,0
21,2021-11-11,11:00,Rivne,Kyiv,5,3,21,300,0
22,2021-11-11,11:00,Rivne,Kyiv,5,3,22,300,0
23,2021-11-11,11:00,Rivne,Kyiv,5,3,23,300,0
24,2021-11-11,11:00,Rivne,Kyiv,5,3,24,300,0
25,2021-11-11,11:00,Rivne,Kyiv,5,3,25,300,0
26,2021-11-11,11:00,Rivne,Kyiv,5,3,26,300,0
27,2021-11-11,11:00,Rivne,Kyiv,5,3,27,300,0
28,2021-11-11,11:00,Rivne,Kyiv,5,3,28,300,0
29,2021-11-11,11:00,Rivne,Kyiv,5,3,29,300,0
30,2021-11-11,11:00,Rivne,Kyiv,5,3,30,300,0
31,2021-11-11,11:00,Rivne,Kyiv,5,3,31,300,0
32,2021-11-11,11:00,Rivne,Kyiv,5,3,32,300,0
33,2021-11-11,11:00,Rivne,Kyiv,5,3,33,300,0
34,2021-11-11,11:00,Rivne,Kyiv,5,3,34,300,0
35,2021-11-11,11:00,Rivne,Kyiv,5,3,35,300,0
36,2021-11-11,11:00,Rivne,Kyiv,5,3,36,300,0
37,2021-11-11,11:00,Rivne,Kyiv,5,3,37,300,0
38,2021-11-11,11:00,Rivne,Kyiv,5,3,38,300,0
39,2021-11-11,11:00,Rivne,Kyiv,5,3,39,300,0
40,2021-11-11,11:00,Rivne,Kyiv,5,3,40,300,0
41,2021-11-11,11:00,Rivne,Kyiv,5,3,41,300,0
42,2021-11-11,11:00,Rivne,Kyiv,5,3,42,300,0
